sample	condition	sample	unit	fq1	fq2
sample_256	T_NA	sample_256	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/256_L2_L002/G6_256_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/256_L2_L002/G6_256_L2_L002R2.fastq.gz
sample_277	T_NA	sample_277	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_G2-277_P7158-P5137_L3_L003_ds.c7c93aa8c48048e49c89ad09477c9985/277_S280_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_G2-277_P7158-P5137_L3_L003_ds.c7c93aa8c48048e49c89ad09477c9985/277_S280_L003_R2_001.fastq.gz
sample_277	T_NA	sample_277	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/277_L1_L001/G2_277_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/277_L1_L001/G2_277_L1_L001R2.fastq.gz
sample_277	T_NA	sample_277	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/277_L2_L002/G2_277_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/277_L2_L002/G2_277_L2_L002R2.fastq.gz
sample_278	T_NA	sample_278	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_F2-278_P7157-P5129_L3_L003_ds.04f187e43a954622b9cff225eba46d20/278_S281_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_F2-278_P7157-P5129_L3_L003_ds.04f187e43a954622b9cff225eba46d20/278_S281_L003_R2_001.fastq.gz
sample_278	T_NA	sample_278	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/278_L1_L001/F2_278_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/278_L1_L001/F2_278_L1_L001R2.fastq.gz
sample_278	T_NA	sample_278	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/278_L2_L002/F2_278_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/278_L2_L002/F2_278_L2_L002R2.fastq.gz
sample_279	T_NA	sample_279	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_E2-279_P7155-P5125_L2_L002_ds.1d463d41e3304a66bf10cb7bb50c071b/279_S147_L002_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_E2-279_P7155-P5125_L2_L002_ds.1d463d41e3304a66bf10cb7bb50c071b/279_S147_L002_R2_001.fastq.gz
sample_279	T_NA	sample_279	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_E2-279_P7155-P5125_L3_L003_ds.75d7ca374813487caa7cd5552b9014d1/279_S282_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_E2-279_P7155-P5125_L3_L003_ds.75d7ca374813487caa7cd5552b9014d1/279_S282_L003_R2_001.fastq.gz
sample_279	T_NA	sample_279	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/279_L1_L001/E2_279_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/279_L1_L001/E2_279_L1_L001R2.fastq.gz
